pid,amphoe,rai
ANGTHONG,ป่าโมก,7054.19057654241
ANGTHONG,วิเศษชัยชาญ,42442.33594455965
ANGTHONG,สามโก้,1355.3122260414855
ANGTHONG,เมืองอ่างทอง,13526.0373324192
ANGTHONG,แสวงหา,16213.912017285256
ANGTHONG,โพธิ์ทอง,35430.47473846084
ANGTHONG,ไชโย,6587.297723258659
AYUTTHAYA,ท่าเรือ,7675.405892728148
AYUTTHAYA,นครหลวง,12406.964164515435
AYUTTHAYA,บางซ้าย,72674.31136268473
AYUTTHAYA,บางบาล,40203.85674292521
AYUTTHAYA,บางปะหัน,25503.40796410793
AYUTTHAYA,บางปะอิน,27014.255079484603
AYUTTHAYA,บางไทร,56071.50928120253
AYUTTHAYA,บ้านแพรก,9813.990654334448
AYUTTHAYA,ผักไห่,74895.15109996588
AYUTTHAYA,พระนครศรีอยุธยา,11388.912663904443
AYUTTHAYA,ภาชี,0.0
AYUTTHAYA,มหาราช,27406.979491687194
AYUTTHAYA,ลาดบัวหลวง,28209.938281813527
AYUTTHAYA,วังน้อย,5283.572989011983
AYUTTHAYA,อุทัย,7.765520920963749
AYUTTHAYA,เสนา,86991.59600690148
BANGKOK,เขตคลองสาน,0.0
BANGKOK,เขตคลองสามวา,0.0
BANGKOK,เขตคลองเตย,0.0
BANGKOK,เขตคันนายาว,0.0
BANGKOK,เขตจตุจักร,0.0
BANGKOK,เขตจอมทอง,0.0
BANGKOK,เขตดอนเมือง,0.0
BANGKOK,เขตดินแดง,0.0
BANGKOK,เขตดุสิต,0.0
BANGKOK,เขตตลิ่งชัน,0.0
BANGKOK,เขตทวีวัฒนา,0.0
BANGKOK,เขตทุ่งครุ,0.0
BANGKOK,เขตธนบุรี,0.0
BANGKOK,เขตบางกอกน้อย,0.0
BANGKOK,เขตบางกอกใหญ่,0.0
BANGKOK,เขตบางกะปิ,0.0
BANGKOK,เขตบางขุนเทียน,0.0
BANGKOK,เขตบางคอแหลม,0.0
BANGKOK,เขตบางซื่อ,0.0
BANGKOK,เขตบางนา,0.0
BANGKOK,เขตบางบอน,0.0
BANGKOK,เขตบางพลัด,0.0
BANGKOK,เขตบางรัก,0.0
BANGKOK,เขตบางเขน,0.0
BANGKOK,เขตบางแค,0.0
BANGKOK,เขตบึงกุ่ม,0.0
BANGKOK,เขตปทุมวัน,0.0
BANGKOK,เขตประเวศ,0.0
BANGKOK,เขตป้อมปราบศัตรูพ่าย,0.0
BANGKOK,เขตพญาไท,0.0
BANGKOK,เขตพระนคร,0.0
BANGKOK,เขตพระโขนง,0.0
BANGKOK,เขตภาษีเจริญ,0.0
BANGKOK,เขตมีนบุรี,0.0
BANGKOK,เขตยานนาวา,0.0
BANGKOK,เขตราชเทวี,0.0
BANGKOK,เขตราษฎร์บูรณะ,0.0
BANGKOK,เขตลาดกระบัง,0.0
BANGKOK,เขตลาดพร้าว,0.0
BANGKOK,เขตวังทองหลาง,0.0
BANGKOK,เขตวัฒนา,0.0
BANGKOK,เขตสวนหลวง,0.0
BANGKOK,เขตสะพานสูง,0.0
BANGKOK,เขตสัมพันธวงศ์,0.0
BANGKOK,เขตสาทร,0.0
BANGKOK,เขตสายไหม,0.0
BANGKOK,เขตหนองจอก,0.0
BANGKOK,เขตหนองแขม,0.0
BANGKOK,เขตหลักสี่,0.0
BANGKOK,เขตห้วยขวาง,0.0
CHAINAT,มโนรมย์,14779.15989766541
CHAINAT,วัดสิงห์,98.74218583726832
CHAINAT,สรรคบุรี,6130.774000117371
CHAINAT,สรรพยา,35971.541910696746
CHAINAT,หนองมะโมง,0.0
CHAINAT,หันคา,1865.8080782432278
CHAINAT,เนินขาม,0.0
CHAINAT,เมืองชัยนาท,1971.9112312341565
CHIANGMAI,กัลยาณิวัฒนา,0.0
CHIANGMAI,จอมทอง,621.0346068179324
CHIANGMAI,ดอยสะเก็ด,1962.833135084404
CHIANGMAI,ดอยหล่อ,5800.965176550973
CHIANGMAI,ดอยเต่า,26.958306726406686
CHIANGMAI,ฝาง,2014.5924337696551
CHIANGMAI,พร้าว,0.0
CHIANGMAI,สะเมิง,0.0
CHIANGMAI,สันกำแพง,4428.7446994743295
CHIANGMAI,สันทราย,678.774533742304
CHIANGMAI,สันป่าตอง,27914.81421759535
CHIANGMAI,สารภี,39764.9355388013
CHIANGMAI,หางดง,10162.009320008785
CHIANGMAI,อมก๋อย,1535.3440925213683
CHIANGMAI,ฮอด,1321.1957194005304
CHIANGMAI,เชียงดาว,0.0
CHIANGMAI,เมืองเชียงใหม่,19813.465970440335
CHIANGMAI,เวียงแหง,0.0
CHIANGMAI,แม่ริม,1721.7392765627314
CHIANGMAI,แม่วาง,293.9206977664041
CHIANGMAI,แม่ออน,106.05711907588062
CHIANGMAI,แม่อาย,14031.745381683799
CHIANGMAI,แม่แจ่ม,0.0
CHIANGMAI,แม่แตง,0.0
CHIANGMAI,ไชยปราการ,0.0
KAMPHAENGPHET,ขาณุวรลักษบุรี,0.0
KAMPHAENGPHET,คลองขลุง,0.0
KAMPHAENGPHET,คลองลาน,10335.089906252693
KAMPHAENGPHET,ทรายทองวัฒนา,0.0
KAMPHAENGPHET,บึงสามัคคี,0.0
KAMPHAENGPHET,ปางศิลาทอง,272.08369389004264
KAMPHAENGPHET,พรานกระต่าย,0.0
KAMPHAENGPHET,ลานกระบือ,0.0
KAMPHAENGPHET,เมืองกำแพงเพชร,0.0
KAMPHAENGPHET,โกสัมพีนคร,0.0
